num trees;pca;max depth;f1 macro avg
00050;no_pca;003;0.50;
00050;pca;003;0.50;
00050;no_pca;005;0.89;
00050;pca;005;0.50;
00050;no_pca;007;0.96;
00050;pca;007;0.59;
00050;no_pca;009;0.98;
00050;pca;009;0.91;
00050;no_pca;011;1.00;
00050;pca;011;0.96;
00050;no_pca;013;1.00;
00050;pca;013;1.00;
00100;no_pca;003;0.50;
00100;pca;003;0.50;
00100;no_pca;005;0.88;
00100;pca;005;0.50;
00100;no_pca;007;0.96;
00100;pca;007;0.51;
00100;no_pca;009;0.99;
00100;pca;009;0.91;
00100;no_pca;011;1.00;
00100;pca;011;0.97;
00100;no_pca;013;1.00;
00100;pca;013;0.99;
00200;no_pca;003;0.50;
00200;pca;003;0.50;
00200;no_pca;005;0.88;
00200;pca;005;0.50;
00200;no_pca;007;0.95;
00200;pca;007;0.53;
00200;no_pca;009;0.99;
00200;pca;009;0.90;
00200;no_pca;011;1.00;
00200;pca;011;0.98;
00200;no_pca;013;1.00;
00200;pca;013;0.99;
00300;no_pca;003;0.50;
00300;pca;003;0.50;
00300;no_pca;005;0.88;
00300;pca;005;0.50;
00300;no_pca;007;0.95;
00300;pca;007;0.52;
00300;no_pca;009;0.99;
00300;pca;009;0.91;
00300;no_pca;011;1.00;
00300;pca;011;0.98;
00300;no_pca;013;1.00;
00300;pca;013;0.99;
00500;no_pca;003;0.50;
00500;pca;003;0.50;
00500;no_pca;005;0.87;
00500;pca;005;0.50;
00500;no_pca;007;0.96;
00500;pca;007;0.51;
00500;no_pca;009;0.99;
00500;pca;009;0.90;
00500;no_pca;011;1.00;
00500;pca;011;0.98;
00500;no_pca;013;1.00;
00500;pca;013;0.99;
00700;no_pca;003;0.50;
00700;pca;003;0.50;
00700;no_pca;005;0.87;
00700;pca;005;0.50;
00700;no_pca;007;0.95;
00700;pca;007;0.52;
00700;no_pca;009;0.99;
00700;pca;009;0.90;
00700;no_pca;011;1.00;
00700;pca;011;0.98;
00700;no_pca;013;1.00;
00700;pca;013;0.99;
01000;no_pca;003;0.50;
01000;pca;003;0.50;
01000;no_pca;005;0.88;
01000;pca;005;0.50;
01000;no_pca;007;0.96;
01000;pca;007;0.52;
01000;no_pca;009;0.99;
01000;pca;009;0.91;
01000;no_pca;011;1.00;
01000;pca;011;0.98;
01000;no_pca;013;1.00;
01000;pca;013;0.99;
