num_trees;pca;max_depth;macro avg
00050;no_pca;003;0.50;
00050;pca;003;0.50;
00050;no_pca;005;0.50;
00050;pca;005;0.50;
00050;no_pca;007;0.77;
00050;pca;007;0.77;
00050;no_pca;009;1.00;
00050;pca;009;0.83;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
00050;no_pca;013;1.00;
00050;pca;013;1.00;
00100;no_pca;003;0.50;
00100;pca;003;0.50;
00100;no_pca;005;0.50;
00100;pca;005;0.50;
00100;no_pca;007;0.77;
00100;pca;007;0.77;
00100;no_pca;009;1.00;
00100;pca;009;0.83;
00100;no_pca;011;1.00;
00100;pca;011;1.00;
00100;no_pca;013;1.00;
00100;pca;013;1.00;
00200;no_pca;003;0.50;
00200;pca;003;0.50;
00200;no_pca;005;0.50;
00200;pca;005;0.50;
00200;no_pca;007;0.77;
00200;pca;007;0.77;
00200;no_pca;009;1.00;
00200;pca;009;0.77;
00200;no_pca;011;1.00;
00200;pca;011;1.00;
00200;no_pca;013;1.00;
00200;pca;013;1.00;
00300;no_pca;003;0.50;
00300;pca;003;0.50;
00300;no_pca;005;0.50;
00300;pca;005;0.50;
00300;no_pca;007;0.77;
00300;pca;007;0.77;
00300;no_pca;009;1.00;
00300;pca;009;0.77;
00300;no_pca;011;1.00;
00300;pca;011;1.00;
00300;no_pca;013;1.00;
00300;pca;013;1.00;
00500;no_pca;003;0.50;
00500;pca;003;0.50;
00500;no_pca;005;0.50;
00500;pca;005;0.50;
00500;no_pca;007;0.77;
00500;pca;007;0.77;
00500;no_pca;009;1.00;
00500;pca;009;0.83;
00500;no_pca;011;1.00;
00500;pca;011;1.00;
00500;no_pca;013;1.00;
00500;pca;013;1.00;
00700;no_pca;003;0.50;
00700;pca;003;0.50;
00700;no_pca;005;0.50;
00700;pca;005;0.50;
00700;no_pca;007;0.77;
00700;pca;007;0.77;
00700;no_pca;009;1.00;
00700;pca;009;0.83;
00700;no_pca;011;1.00;
00700;pca;011;1.00;
00700;no_pca;013;1.00;
00700;pca;013;1.00;
01000;no_pca;003;0.50;
01000;pca;003;0.50;
01000;no_pca;005;0.50;
01000;pca;005;0.50;
01000;no_pca;007;0.77;
01000;pca;007;0.77;
01000;no_pca;009;1.00;
01000;pca;009;0.83;
01000;no_pca;011;1.00;
01000;pca;011;1.00;
01000;no_pca;013;1.00;
01000;pca;013;1.00;
