num trees;pca;max depth;f1 macro avg
00010;no_pca;003;0.88;
00010;pca;003;0.74;
00010;no_pca;005;0.93;
00010;pca;005;0.86;
00010;no_pca;007;0.98;
00010;pca;007;0.94;
00010;no_pca;009;1.00;
00010;pca;009;0.99;
00010;no_pca;011;1.00;
00010;pca;011;1.00;
00010;no_pca;013;1.00;
00010;pca;013;1.00;
00015;no_pca;003;0.90;
00015;pca;003;0.75;
00015;no_pca;005;0.95;
00015;pca;005;0.88;
00015;no_pca;007;0.99;
00015;pca;007;0.97;
00015;no_pca;009;1.00;
00015;pca;009;1.00;
00015;no_pca;011;1.00;
00015;pca;011;1.00;
00015;no_pca;013;1.00;
00015;pca;013;1.00;
00020;no_pca;003;0.91;
00020;pca;003;0.76;
00020;no_pca;005;0.95;
00020;pca;005;0.90;
00020;no_pca;007;0.99;
00020;pca;007;0.98;
00020;no_pca;009;1.00;
00020;pca;009;1.00;
00020;no_pca;011;1.00;
00020;pca;011;1.00;
00020;no_pca;013;1.00;
00020;pca;013;1.00;
00025;no_pca;003;0.92;
00025;pca;003;0.78;
00025;no_pca;005;0.96;
00025;pca;005;0.91;
00025;no_pca;007;0.99;
00025;pca;007;0.99;
00025;no_pca;009;1.00;
00025;pca;009;1.00;
00025;no_pca;011;1.00;
00025;pca;011;1.00;
00025;no_pca;013;1.00;
00025;pca;013;1.00;
00030;no_pca;003;0.93;
00030;pca;003;0.79;
00030;no_pca;005;0.97;
00030;pca;005;0.93;
00030;no_pca;007;1.00;
00030;pca;007;0.99;
00030;no_pca;009;1.00;
00030;pca;009;1.00;
00030;no_pca;011;1.00;
00030;pca;011;1.00;
00030;no_pca;013;1.00;
00030;pca;013;1.00;
00050;no_pca;003;0.94;
00050;pca;003;0.83;
00050;no_pca;005;0.98;
00050;pca;005;0.96;
00050;no_pca;007;1.00;
00050;pca;007;1.00;
00050;no_pca;009;1.00;
00050;pca;009;1.00;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
00050;no_pca;013;1.00;
00050;pca;013;1.00;
